count,daily_change,day
4154,81.0,2022-04-25T00:00:00
1667,5.0,2021-10-02T00:00:00
3200,-309.0,2022-01-17T00:00:00
3871,99.0,2022-04-05T00:00:00
2269,5.0,2021-12-09T00:00:00
3452,9.0,2022-03-19T00:00:00
2122,8.0,2021-11-21T00:00:00
1956,26.0,2021-11-07T00:00:00
4683,21.0,2022-06-30T00:00:00
3610,-35.0,2022-03-26T00:00:00
4483,-9.0,2022-05-13T00:00:00
2001,3.0,2021-11-09T00:00:00
3488,-24.0,2022-03-10T00:00:00
4676,-3.0,2022-06-28T00:00:00
2010,2.0,2021-11-11T00:00:00
4515,-12.0,2022-05-19T00:00:00
4649,27.0,2022-06-27T00:00:00
2239,6.0,2021-12-04T00:00:00
2168,6.0,2021-11-25T00:00:00
3498,140.0,2022-03-21T00:00:00
4414,65.0,2022-05-10T00:00:00
1514,6.0,2021-09-11T00:00:00
3482,-30.0,2022-03-18T00:00:00
2309,6.0,2021-12-16T00:00:00
2457,138.0,2022-01-31T00:00:00
2021,16.0,2021-11-13T00:00:00
1051,34.0,2021-08-05T00:00:00
4609,-19.0,2022-06-01T00:00:00
4619,20.0,2022-06-20T00:00:00
2905,36.0,2022-02-15T00:00:00
2102,11.0,2021-11-19T00:00:00
1290,6.0,2021-08-18T00:00:00
1318,11.0,2021-08-24T00:00:00
1459,26.0,2021-09-04T00:00:00
1497,8.0,2021-09-07T00:00:00
1346,10.0,2021-08-28T00:00:00
1544,6.0,2021-09-15T00:00:00
3272,31.0,2022-03-06T00:00:00
4623,-1.0,2022-06-16T00:00:00
1645,8.0,2021-09-29T00:00:00
2755,150.0,2022-02-14T00:00:00
1643,2.0,2021-09-28T00:00:00
2866,-38.0,2022-02-18T00:00:00
931,100.0,2021-08-03T00:00:00
4235,69.0,2022-04-26T00:00:00
3624,-1.0,2022-03-24T00:00:00
4088,7.0,2022-04-19T00:00:00
1746,70.0,2021-10-29T00:00:00
1550,4.0,2021-09-16T00:00:00
3704,2.0,2022-04-01T00:00:00
4100,-6.0,2022-04-23T00:00:00
4590,-20.0,2022-06-02T00:00:00
1310,6.0,2021-08-22T00:00:00
3546,9.0,2022-03-15T00:00:00
2223,10.0,2021-12-02T00:00:00
2233,6.0,2021-12-03T00:00:00
2245,4.0,2021-12-05T00:00:00
4601,5.0,2022-06-12T00:00:00
4074,-41.0,2022-04-12T00:00:00
1572,7.0,2021-09-18T00:00:00
1356,6.0,2021-08-29T00:00:00
3422,30.0,2022-03-13T00:00:00
1982,19.0,2021-11-08T00:00:00
1728,12.0,2021-10-25T00:00:00
1642,1.0,2021-09-27T00:00:00
2037,11.0,2021-11-14T00:00:00
3216,-58.0,2022-02-24T00:00:00
3421,1.0,2022-03-12T00:00:00
4095,-11.0,2022-04-20T00:00:00
4304,-30.0,2022-04-27T00:00:00
1947,9.0,2021-11-06T00:00:00
1681,4.0,2021-10-08T00:00:00
4639,-3.0,2022-06-14T00:00:00
1818,-40.0,2022-01-08T00:00:00
3282,-10.0,2022-03-05T00:00:00
2402,29.0,2021-12-28T00:00:00
2893,158.0,2022-02-21T00:00:00
1031,20.0,2021-08-04T00:00:00
1702,2.0,2021-10-13T00:00:00
4492,-9.0,2022-05-12T00:00:00
3177,15.0,2022-02-26T00:00:00
4606,33.0,2022-06-13T00:00:00
4473,10.0,2022-05-15T00:00:00
4742,6.0,2022-07-05T00:00:00
3011,122.0,2022-01-13T00:00:00
1400,17.0,2021-09-01T00:00:00
4547,12.0,2022-05-29T00:00:00
873,26.0,2021-08-01T00:00:00
1709,3.0,2021-10-16T00:00:00
1579,14.0,2021-09-19T00:00:00
4637,1.0,2022-06-23T00:00:00
824,49.0,2021-07-31T00:00:00
1505,4.0,2021-09-08T00:00:00
1691,6.0,2021-10-10T00:00:00
1743,3.0,2021-10-28T00:00:00
1554,18.0,2021-09-17T00:00:00
4274,-11.0,2022-04-28T00:00:00
2192,6.0,2021-11-29T00:00:00
1593,12.0,2021-09-20T00:00:00
3615,-127.0,2022-03-09T00:00:00
1721,-1.0,2021-10-21T00:00:00
3133,84.0,2022-01-14T00:00:00
4647,-10.0,2022-06-22T00:00:00
1676,1.0,2021-10-04T00:00:00
1187,24.0,2021-08-08T00:00:00
2548,192.0,2022-02-07T00:00:00
4504,38.0,2022-05-23T00:00:00
1622,7.0,2021-09-24T00:00:00
3903,41.0,2022-04-09T00:00:00
4248,33.0,2022-05-01T00:00:00
3294,-94.0,2022-01-16T00:00:00
1677,1.0,2021-10-05T00:00:00
4376,20.0,2022-05-04T00:00:00
4721,21.0,2022-07-04T00:00:00
4604,5.0,2022-06-07T00:00:00
2355,10.0,2021-12-24T00:00:00
4353,-1.0,2022-05-08T00:00:00
1740,2.0,2021-10-26T00:00:00
4636,-13.0,2022-06-15T00:00:00
1485,9.0,2021-09-05T00:00:00
1672,4.0,2021-10-03T00:00:00
2624,75.0,2022-01-03T00:00:00
1305,2.0,2021-08-20T00:00:00
3480,2.0,2022-03-17T00:00:00
4622,-1.0,2022-06-17T00:00:00
4617,2.0,2022-06-19T00:00:00
1520,2.0,2021-09-12T00:00:00
2391,11.0,2021-12-27T00:00:00
3287,-5.0,2022-03-04T00:00:00
2318,3.0,2021-12-18T00:00:00
4483,38.0,2022-05-16T00:00:00
612,116.0,2021-07-28T00:00:00
2766,-277.0,2022-01-05T00:00:00
1243,12.0,2021-08-12T00:00:00
2796,-63.0,2022-02-12T00:00:00
4639,8.0,2022-06-21T00:00:00
1211,21.0,2021-08-09T00:00:00
2012,9.0,2021-11-12T00:00:00
1307,3.0,2021-08-21T00:00:00
2157,11.0,2021-11-24T00:00:00
3926,-13.0,2022-04-15T00:00:00
4721,0.0,2022-07-03T00:00:00
1532,12.0,2021-09-14T00:00:00
2538,86.0,2022-01-02T00:00:00
3172,44.0,2022-02-23T00:00:00
1109,78.0,2021-08-07T00:00:00
1329,3.0,2021-08-25T00:00:00
2840,-44.0,2022-02-11T00:00:00
1236,7.0,2021-08-11T00:00:00
2749,-55.0,2022-01-20T00:00:00
4084,7.0,2022-04-21T00:00:00
4719,2.0,2022-07-02T00:00:00
1232,4.0,2021-08-10T00:00:00
4474,-1.0,2022-05-14T00:00:00
2700,-60.0,2022-01-25T00:00:00
4609,-12.0,2022-06-08T00:00:00
1653,7.0,2021-09-30T00:00:00
3944,35.0,2022-04-10T00:00:00
1629,9.0,2021-09-25T00:00:00
2198,15.0,2021-11-30T00:00:00
2733,22.0,2022-02-13T00:00:00
1332,10.0,2021-08-26T00:00:00
2640,-92.0,2022-01-26T00:00:00
3158,19.0,2022-02-25T00:00:00
1417,11.0,2021-09-02T00:00:00
1605,8.0,2021-09-21T00:00:00
3192,45.0,2022-02-27T00:00:00
1085,24.0,2021-08-06T00:00:00
