date,users
2021-07-01T00:00:00+00:00,105
2021-08-01T00:00:00+00:00,742
2021-09-01T00:00:00+00:00,635
2021-10-01T00:00:00+00:00,561
2021-11-01T00:00:00+00:00,625
2021-12-01T00:00:00+00:00,664
2022-01-01T00:00:00+00:00,2159
2022-02-01T00:00:00+00:00,1329
2022-03-01T00:00:00+00:00,1099
2022-04-01T00:00:00+00:00,1021
2022-05-01T00:00:00+00:00,433
2022-06-01T00:00:00+00:00,283
2022-07-01T00:00:00+00:00,73
